"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part"
"pavlovia","0","748","0.0-0.0","spark_pilot_2","7098","4","7","Male","","","","","","","","","",""
"preload","1","2732","0.0-1.0","spark_pilot_2","7098","4","7","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":4630},{""event"":""blur"",""trial"":4,""time"":43501},{""event"":""focus"",""trial"":4,""time"":43504},{""event"":""fullscreenexit"",""trial"":4,""time"":43506},{""event"":""blur"",""trial"":4,""time"":44997},{""event"":""focus"",""trial"":4,""time"":119334},{""event"":""blur"",""trial"":5,""time"":132149},{""event"":""focus"",""trial"":5,""time"":213554},{""event"":""blur"",""trial"":5,""time"":219543},{""event"":""focus"",""trial"":5,""time"":1328454},{""event"":""blur"",""trial"":5,""time"":1329638},{""event"":""focus"",""trial"":5,""time"":6666995},{""event"":""blur"",""trial"":5,""time"":6668554},{""event"":""focus"",""trial"":5,""time"":7117328},{""event"":""blur"",""trial"":5,""time"":7118227},{""event"":""focus"",""trial"":5,""time"":7456332},{""event"":""blur"",""trial"":5,""time"":7458841},{""event"":""focus"",""trial"":5,""time"":7458843}]","","","",""
"fullscreen","2","5630","0.0-2.0","spark_pilot_2","7098","4","7","Male","true","","","","","","","","",""
"audio-button-response","3","7020","0.0-3.0-0.0-0.0","spark_pilot_2","7098","4","7","Male","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":4630},{""event"":""blur"",""trial"":4,""time"":43501},{""event"":""focus"",""trial"":4,""time"":43504},{""event"":""fullscreenexit"",""trial"":4,""time"":43506},{""event"":""blur"",""trial"":4,""time"":44997},{""event"":""focus"",""trial"":4,""time"":119334},{""event"":""blur"",""trial"":5,""time"":132149},{""event"":""focus"",""trial"":5,""time"":213554},{""event"":""blur"",""trial"":5,""time"":219543},{""event"":""focus"",""trial"":5,""time"":1328454},{""event"":""blur"",""trial"":5,""time"":1329638},{""event"":""focus"",""trial"":5,""time"":6666995},{""event"":""blur"",""trial"":5,""time"":6668554},{""event"":""focus"",""trial"":5,""time"":7117328},{""event"":""blur"",""trial"":5,""time"":7118227},{""event"":""focus"",""trial"":5,""time"":7456332},{""event"":""blur"",""trial"":5,""time"":7458841},{""event"":""focus"",""trial"":5,""time"":7458843}]","1269","./assets/audio/audiotest/turtle.mp3","2","audio_test"
"learning-instructions","4","121159","0.0-3.0-1.0-0.0","spark_pilot_2","7098","4","7","Male","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":4630},{""event"":""blur"",""trial"":4,""time"":43501},{""event"":""focus"",""trial"":4,""time"":43504},{""event"":""fullscreenexit"",""trial"":4,""time"":43506},{""event"":""blur"",""trial"":4,""time"":44997},{""event"":""focus"",""trial"":4,""time"":119334},{""event"":""blur"",""trial"":5,""time"":132149},{""event"":""focus"",""trial"":5,""time"":213554},{""event"":""blur"",""trial"":5,""time"":219543},{""event"":""focus"",""trial"":5,""time"":1328454},{""event"":""blur"",""trial"":5,""time"":1329638},{""event"":""focus"",""trial"":5,""time"":6666995},{""event"":""blur"",""trial"":5,""time"":6668554},{""event"":""focus"",""trial"":5,""time"":7117328},{""event"":""blur"",""trial"":5,""time"":7118227},{""event"":""focus"",""trial"":5,""time"":7456332},{""event"":""blur"",""trial"":5,""time"":7458841},{""event"":""focus"",""trial"":5,""time"":7458843}]","107157.69999998808","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions"
