"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","5221","0.0-0.0","spark_pilot_2","7395","3","16","Male","[{""event"":""blur"",""trial"":1,""time"":29813},{""event"":""focus"",""trial"":1,""time"":32356},{""event"":""fullscreenenter"",""trial"":2,""time"":68646}]","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","60716","0.0-1.0","spark_pilot_2","7395","3","16","Male","[{""event"":""blur"",""trial"":1,""time"":29813},{""event"":""focus"",""trial"":1,""time"":32356},{""event"":""fullscreenenter"",""trial"":2,""time"":68646}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","69590","0.0-2.0","spark_pilot_2","7395","3","16","Male","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","71729","0.0-3.0-0.0-0.0","spark_pilot_2","7395","3","16","Male","","","","","","","2120","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","79725","0.0-3.0-1.0-0.0","spark_pilot_2","7395","3","16","Male","","","","","","","1000.8000001907349","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","89779","0.0-3.0-1.0-0.1","spark_pilot_2","7395","3","16","Male","","","","","","","1636.5","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","101219","0.0-3.0-1.0-0.2","spark_pilot_2","7395","3","16","Male","","","","","","","3116","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","115023","0.0-3.0-1.0-0.3","spark_pilot_2","7395","3","16","Male","","","","","","","640","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","127010","0.0-3.0-1.0-0.4","spark_pilot_2","7395","3","16","Male","","","","","","","508.40000009536743","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","137225","0.0-3.0-1.0-0.5","spark_pilot_2","7395","3","16","Male","","","","","","","2369.7000000476837","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","146883","0.0-3.0-1.0-0.6","spark_pilot_2","7395","3","16","Male","","","","","","","830.8999998569489","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","155235","0.0-3.0-1.0-0.7","spark_pilot_2","7395","3","16","Male","","","","","","","1311.5","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","159261","0.0-3.0-2.0-0.0","spark_pilot_2","7395","3","16","Male","","","true","","","","[]","./assets/img/space/0.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","",""
"html-keyboard-response","13","159780","0.0-3.0-2.0-1.0","spark_pilot_2","7395","3","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","163812","0.0-3.0-2.0-0.1","spark_pilot_2","7395","3","16","Male","","","false","","","","[888.2000000476837]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","164330","0.0-3.0-2.0-1.1","spark_pilot_2","7395","3","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","168351","0.0-3.0-2.0-0.2","spark_pilot_2","7395","3","16","Male","","","false","","","","[1847.5999999046326]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","168860","0.0-3.0-2.0-1.2","spark_pilot_2","7395","3","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","175195","0.0-3.0-3.0-0.0","spark_pilot_2","7395","3","16","Male","","","","","","","1611.5","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","179220","0.0-3.0-4.0-0.0","spark_pilot_2","7395","3","16","Male","","","false","","","","[630.0999999046326]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","179730","0.0-3.0-4.0-1.0","spark_pilot_2","7395","3","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","183761","0.0-3.0-4.0-0.1","spark_pilot_2","7395","3","16","Male","","","false","","","","[599.2000000476837]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
