"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part"
"pavlovia","0","1491","0.0-0.0","spark_pilot_2","7479","5","21","Male","","","","","","","","","",""
"preload","1","10587","0.0-1.0","spark_pilot_2","7479","5","21","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":11861},{""event"":""blur"",""trial"":7,""time"":49839},{""event"":""focus"",""trial"":7,""time"":893675},{""event"":""fullscreenexit"",""trial"":8,""time"":898885},{""event"":""blur"",""trial"":8,""time"":902935}]","","","",""
"fullscreen","2","12858","0.0-2.0","spark_pilot_2","7479","5","21","Male","true","","","","","","","","",""
"audio-button-response","3","15390","0.0-3.0-0.0-0.0","spark_pilot_2","7479","5","21","Male","","","","","","","1931","./assets/audio/audiotest/turtle.mp3","2","audio_test"
"learning-instructions","4","23943","0.0-3.0-1.0-0.0","spark_pilot_2","7479","5","21","Male","","","","","","","1566.6000000014901","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions"
"learning-instructions","5","34391","0.0-3.0-1.0-0.1","spark_pilot_2","7479","5","21","Male","","","","","","","2045.2000000029802","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions"
"learning-instructions","6","46335","0.0-3.0-1.0-0.2","spark_pilot_2","7479","5","21","Male","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":11861},{""event"":""blur"",""trial"":7,""time"":49839},{""event"":""focus"",""trial"":7,""time"":893675},{""event"":""fullscreenexit"",""trial"":8,""time"":898885},{""event"":""blur"",""trial"":8,""time"":902935}]","3699.2000000029802","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions"
"learning-instructions","7","893766","0.0-3.0-1.0-0.3","spark_pilot_2","7479","5","21","Male","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":11861},{""event"":""blur"",""trial"":7,""time"":49839},{""event"":""focus"",""trial"":7,""time"":893675},{""event"":""fullscreenexit"",""trial"":8,""time"":898885},{""event"":""blur"",""trial"":8,""time"":902935}]","834290.099999994","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions"
