"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","browser_interaction","low_quality"
"pavlovia","0","2","0.0-0.0","","","",""
"call-function","1","2","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""D"",""A"",""C"",""B""],""boats_demo"":[""E"",""H"",""G"",""F""],""islands"":[""A"",""B""],""subject_id"":""14567"",""age"":""20"",""gender"":""Male""}","[{""event"":""focus"",""trial"":2,""time"":10933},{""event"":""blur"",""trial"":2,""time"":12562},{""event"":""focus"",""trial"":2,""time"":45886},{""event"":""blur"",""trial"":2,""time"":46562},{""event"":""focus"",""trial"":2,""time"":93990}]","false"
