"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors"
"pavlovia","0","8","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","9","0.0-1.0","","{""task_version"":""sr_pilot_v2"",""task_condition"":""good"",""boats"":[""D"",""A"",""C"",""B""],""boats_demo"":[""H"",""F"",""G"",""E""],""islands"":[""B"",""A""],""subject_id"":""13978"",""age"":""19"",""gender"":""Female""}","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","5342","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":12156}]","false","","","","","","","","","","","","","","","",""
"fullscreen","3","13146","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","16219","0.0-4.0-0.0","","","","","","","","","","3072","audio/beep_loop.wav"," ","","","","","","","","","","","","",""
"audio-test","5","18338","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","",""
"audio-test","6","20577","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","",""
"sailing-instructions","7","55670","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-trial","8","63360","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","6504.800000000745","","null","","null","null","arrowleft","0","null","null","",""
"sailing-trial","9","66720","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","2245.300000000745","","null","","null","null","arrowright","1","null","null","",""
"sailing-trial","10","70736","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","2906.5999999996275","","null","","null","null","arrowleft","0","null","null","",""
"sailing-instructions","11","129815","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","",""
"sailing-trial","12","144501","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","9111.89999999851","","2","1","null","null","arrowleft","[1,1,1,1]","",""
"sailing-trial","13","151018","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","1999","","3","1","null","null","arrowright","[1,1,1,1]","",""
"sailing-trial","14","156702","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","2458.9000000003725","","2","0","null","null","arrowleft","[0,0,0,0]","",""
"sailing-instructions","15","166288","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","16","200639","0.0-5.0-0.0-5.0","","","","","","","","","","29986.300000000745","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0"
"sailing-instructions","17","267540","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","18","298426","0.0-6.0-0.0-1.0","","","","","","","","","","28733.199999999255","","","","","","","","","","","","","","[""true"",""false"",""true""]","0"
"sailing-instructions","19","313423","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-trial","20","320174","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","3738.699999999255","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","21","324358","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","2168.5999999996275","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","22","327711","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1846.9000000003725","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","23","331360","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","1154.0999999996275","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-comprehension","24","348096","0.0-7.0-0.0-2.0","","","","","","","","","","9776.900000000373","","","","","","","","","","","","","","[""true""]","1"
"sailing-instructions","25","364701","0.0-7.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-trial","26","367505","0.0-7.0-0.1-1.1-0.1","","","","false","","","","","","","","","","null","","946.5","","0","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","27","369906","0.0-7.0-0.1-1.1-1.1","","","","false","","","","","","","","","","null","","628.2000000011176","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","28","371621","0.0-7.0-0.1-1.1-2.1","","","","false","","","","","","","","","","null","","401.90000000037253","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","29","374223","0.0-7.0-0.1-1.1-3.1","","","","false","","","","","","","","","","null","","806.5","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-comprehension","30","380121","0.0-7.0-0.1-2.1","","","","","","","","","","4329.9000000003725","","","","","","","","","","","","","","[""false""]","0"
"sailing-instructions","31","393778","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","32","401606","0.0-8.0-0.0-1.0","","","","","","","","","","3819.0999999996275","","","","","","","","","","","","","","[""true""]","0"
"sailing-instructions","33","424784","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-trial","34","434317","0.0-9.0-0.0-1.0-0.0","","","","false","","","","","","","","","","2039.199999999255","","1882.0999999996275","","0","0","arrowleft","0","arrowleft","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","35","439813","0.0-9.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1699.5","","650.5999999996275","","1","0","arrowleft","0","arrowright","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","36","444939","0.0-9.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","2823","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
