"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","9","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","11","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""C"",""D"",""A"",""B""],""boats_demo"":[""F"",""G"",""E"",""H""],""islands"":[""A"",""B""],""subject_id"":""14535"",""age"":""10"",""gender"":""Female""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","19190","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":24061}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","25001","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","31163","0.0-4.0-0.0","","","","","","","","","","6144","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","35875","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","38739","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","71361","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","79048","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","6559.70000000298","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","82960","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","2777.3999999910593","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","88053","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","3955.6000000089407","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","132698","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","145811","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","4623.70000000298","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","150720","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","2355.7999999970198","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","156047","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","2064.9000000059605","","3","0","null","null","arrowright","[0,0,0,0]","","",""
"sailing-instructions","15","168796","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","216469","0.0-5.0-0.0-5.0","","","","","","","","","","34661.10000000894","","","","","","","","","","","","","","[""true"",""true"",""true"",""true""]","1",""
"sailing-instructions","17","250258","0.0-5.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","18","257062","0.0-5.0-0.1-1.1-0.1","","","","false","","","","","","","","","","5680.600000008941","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","19","258823","0.0-5.0-0.1-1.1-1.1","","","","false","","","","","","","","","","634.5999999940395","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","20","261205","0.0-5.0-0.1-1.1-2.1","","","","false","","","","","","","","","","1257.4000000059605","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","21","303228","0.0-5.0-0.1-2.1","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","22","309774","0.0-5.0-0.1-3.1-0.1","","","","false","","","","","","","","","","null","","3344.7999999970198","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","23","312371","0.0-5.0-0.1-3.1-1.1","","","","false","","","","","","","","","","null","","457","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","24","317935","0.0-5.0-0.1-3.1-2.1","","","","false","","","","","","","","","","null","","2009.3999999910593","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","25","325528","0.0-5.0-0.1-4.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","26","350897","0.0-5.0-0.1-5.1","","","","","","","","","","23063.19999998808","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","27","415784","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","28","455035","0.0-6.0-0.0-1.0","","","","","","","","","","37378.60000000894","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","29","474998","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","30","480084","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","2055.5999999940395","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","31","483577","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","1419.300000011921","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","32","486289","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","800.2000000029802","","2","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","33","489669","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","697.5","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
