"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","3","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""A"",""B"",""C"",""D""],""boats_demo"":[""E"",""H"",""F"",""G""],""islands"":[""A"",""B""],""subject_id"":""13855"",""age"":""12"",""gender"":""Male""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","5940","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":7863}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","8811","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","10046","0.0-4.0-0.0","","","","","","","","","","1226.6666666666665","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","11342","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","13325","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","43025","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","47597","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","3442.399999856949","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","49813","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1089.4000000953674","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","52564","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","1589.3999998569489","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","91696","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","96563","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","1758.4000000953674","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","100130","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","739.2999999523163","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","103703","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","1188.2000000476837","","3","0","null","null","arrowright","[0,0,0,0]","","",""
"sailing-instructions","15","110918","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","131207","0.0-5.0-0.0-5.0","","","","","","","","","","13088","","","","","","","","","","","","","","[""true"",""false"",""false"",""true""]","1",""
"sailing-instructions","17","158227","0.0-5.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","18","159929","0.0-5.0-0.1-1.1-0.1","","","","false","","","","","","","","","","613.5","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","19","161715","0.0-5.0-0.1-1.1-1.1","","","","false","","","","","","","","","","667.7000000476837","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","20","162964","0.0-5.0-0.1-1.1-2.1","","","","false","","","","","","","","","","125.20000004768372","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","21","219478","0.0-5.0-0.1-2.1","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","22","226345","0.0-5.0-0.1-3.1-0.1","","","","false","","","","","","","","","","null","","3192.899999856949","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","23","228579","0.0-5.0-0.1-3.1-1.1","","","","false","","","","","","","","","","null","","22.300000190734863","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","24","230515","0.0-5.0-0.1-3.1-2.1","","","","false","","","","","","","","","","null","","125.10000014305115","","3","0","null","null","arrowright","[0,0,0,0]","","",""
"sailing-instructions","25","238379","0.0-5.0-0.1-4.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","26","247023","0.0-5.0-0.1-5.1","","","","","","","","","","5676.099999904633","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
