"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","8","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""B"",""C"",""D"",""A""],""boats_demo"":[""F"",""E"",""H"",""G""],""islands"":[""A"",""B""],""subject_id"":""13878"",""age"":""13"",""gender"":""Female""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","7965","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":17490}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","18478","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","22751","0.0-4.0-0.0","","","","","","","","","","4064","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","25414","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","27938","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","60871","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","65019","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","3028.6999999999534","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","69158","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","3014.5999999999767","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","72022","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","1732.6999999999534","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","115785","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","122803","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","2305.1999999999534","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","126717","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","672.0999999999767","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","133075","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","2597.0999999999767","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","140961","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","169788","0.0-5.0-0.0-5.0","","","","","","","","","","23416.20000000007","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","234083","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","257107","0.0-6.0-0.0-1.0","","","","","","","","","","20294","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","19","271941","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","20","279267","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","4299.800000000047","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","21","284790","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","2996.8000000000466","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","22","289009","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1434.3000000000466","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","293445","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","1459.3000000000466","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","24","308871","0.0-7.0-0.0-2.0","","","","","","","","","","12060.199999999953","","","","","","","","","","","","","","[""false""]","0",""
"sailing-instructions","25","319587","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","26","326685","0.0-8.0-0.0-1.0","","","","","","","","","","4188.800000000047","","","","","","","","","","","","","","[""true""]","0",""
"sailing-instructions","27","365138","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","28","373557","0.0-9.0-0.0-1.0-0.0","","","","false","","","","","","","","","","1385.4000000001397","","1883.3000000000466","","0","1","arrowleft","0","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","29","379951","0.0-9.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1513.5","","877.3000000000466","","3","1","arrowright","1","arrowright","[0.2,0.8,0.2,0.8]","","",""
