"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","2","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""D"",""B"",""C"",""A""],""boats_demo"":[""F"",""G"",""E"",""H""],""islands"":[""A"",""B""],""subject_id"":""13954"",""age"":""18"",""gender"":""Male""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","2853","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":5476}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","6474","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","8906","0.0-4.0-0.0","","","","","","","","","","2381.3333333333335","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","10171","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","11936","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","41188","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","45498","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","3198.199999988079","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","47700","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1083.5","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","51914","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","3091.100000023842","","null","","null","null","arrowright","1","null","null","","",""
"sailing-instructions","11","90864","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","95491","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","1618.5","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","98303","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","456.30000001192093","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","100684","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","76.5","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","108026","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","121937","0.0-5.0-0.0-5.0","","","","","","","","","","10991.5","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","180962","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","196335","0.0-6.0-0.0-1.0","","","","","","","","","","13689.299999952316","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","19","209225","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","20","213243","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","2158.2000000476837","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","21","217770","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","2652.599999964237","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","22","219687","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","571.8000000119209","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","221957","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","510.60000002384186","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","24","234963","0.0-7.0-0.0-2.0","","","","","","","","","","9521.200000047684","","","","","","","","","","","","","","[""true""]","1",""
"sailing-instructions","25","249207","0.0-7.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","26","251328","0.0-7.0-0.1-1.1-0.1","","","","false","","","","","","","","","","null","","996.1999999880791","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","27","253293","0.0-7.0-0.1-1.1-1.1","","","","false","","","","","","","","","","null","","315.0999999642372","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
