"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","6","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""C"",""A"",""D"",""B""],""boats_demo"":[""G"",""H"",""F"",""E""],""islands"":[""B"",""A""],""subject_id"":""14946"",""age"":""18"",""gender"":""Female""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","1732","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":9251}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","10223","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","12557","0.0-4.0-0.0","","","","","","","","","","1861.3333333333333","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","14264","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","16295","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","49624","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","55632","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","4843","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","58084","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1297.6000003814697","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","60986","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","1787.8999996185303","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","105864","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","110981","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","1645","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","114284","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","764.4000005722046","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","118065","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","1001.8000001907349","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","125474","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","140605","0.0-5.0-0.0-5.0","","","","","","","","","","10050.60000038147","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","205798","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","217741","0.0-6.0-0.0-1.0","","","","","","","","","","10332.5","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","19","233349","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","20","238623","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","2563.5","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","21","242848","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","2719.6000003814697","","1","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","22","245927","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1606.3000001907349","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","249248","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","1289.8999996185303","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","24","254089","0.0-7.0-0.0-2.0","","","","","","","","","","3482.199999809265","","","","","","","","","","","","","","[""false""]","0",""
"sailing-instructions","25","265197","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","26","269600","0.0-8.0-0.0-1.0","","","","","","","","","","3114.3999996185303","","","","","","","","","","","","","","[""true""]","0",""
"sailing-instructions","27","292913","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","28","298159","0.0-9.0-0.0-1.0-0.0","","","","false","","","","","","","","","","1115.6999998092651","","854.5","","0","0","arrowleft","0","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","29","301605","0.0-9.0-0.0-1.0-1.0","","","","false","","","","","","","","","","740","","126.80000019073486","","2","0","arrowright","1","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","30","304072","0.0-9.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1099.5","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","31","307919","0.0-9.0-0.0-1.0-3.0","","","","false","","","","","","","","","","647.1999998092651","","278.0999994277954","","3","0","arrowright","1","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","32","311088","0.0-9.0-0.0-1.0-4.0","","","","false","","","","","","","","","","null","","751.2000007629395","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","33","315279","0.0-9.0-0.0-1.0-5.0","","","","false","","","","","","","","","","1039.3000001907349","","49.59999942779541","","0","1","arrowleft","0","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-instructions","34","341590","0.0-10.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","35","347853","0.0-11.0-0.0","","","","false","","","","","","","","","","1323.6999998092651","","1358.5","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.325,0.675]","","",""
"sailing-trial","36","350988","0.0-11.0-1.0","","","","false","","","","","","","","","","null","","1228.1999998092651","","0","1","null","null","arrowup","[0.85,0.15,0.325,0.675]","","",""
"sailing-trial","37","354942","0.0-11.0-2.0","","","","false","","","","","","","","","","557.1999998092651","","515.8000001907349","","3","0","arrowright","1","arrowright","[0.85,0.15,0.325,0.675]","","",""
