"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","browser_interaction","low_quality","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","19","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","20","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""B"",""D"",""C"",""A""],""boats_demo"":[""F"",""H"",""E"",""G""],""islands"":[""B"",""A""],""subject_id"":""14529"",""age"":""10"",""gender"":""Male""}","[{""event"":""focus"",""trial"":0,""time"":3},{""event"":""blur"",""trial"":2,""time"":4694}]","false","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","5488","0.0-2.0","","","[{""event"":""focus"",""trial"":0,""time"":3},{""event"":""blur"",""trial"":2,""time"":4694},{""event"":""focus"",""trial"":3,""time"":6762},{""event"":""fullscreenenter"",""trial"":3,""time"":8768}]","false","true","false","[]","[]","[]","","","","","","","","","","","","","","","","",""
"fullscreen","3","9439","0.0-3.0","","","","","true","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","12076","0.0-4.0-0.0","","","","","","","","","","2519.3650793650795","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","14509","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","16616","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","61347","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","67374","0.0-5.0-0.0-1.0-0.0","","","","","","false","","","","","","","","4896","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","69933","0.0-5.0-0.0-1.0-1.0","","","","","","false","","","","","","","","1416","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","72897","0.0-5.0-0.0-1.0-2.0","","","","","","false","","","","","","","","1828","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","113490","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","119662","0.0-5.0-0.0-3.0-0.0","","","","","","false","","","","","","","","null","","2753","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","123013","0.0-5.0-0.0-3.0-1.0","","","","","","false","","","","","","","","null","","1011","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","125180","0.0-5.0-0.0-3.0-2.0","","","","","","false","","","","","","","","null","","308","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","132426","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","156689","0.0-5.0-0.0-5.0","","","","","","","","","","21110","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","217717","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","240450","0.0-6.0-0.0-1.0","","","","","","","","","","21088","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","19","254406","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","20","260626","0.0-7.0-0.0-1.0-0.0","","","","","","false","","","","","","","","null","","3455","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","21","263893","0.0-7.0-0.0-1.0-1.0","","","","","","false","","","","","","","","null","","1130","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","22","267018","0.0-7.0-0.0-1.0-2.0","","","","","","false","","","","","","","","null","","1568","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","269243","0.0-7.0-0.0-1.0-3.0","","","","","","false","","","","","","","","null","","623","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","24","276644","0.0-7.0-0.0-2.0","","","","","","","","","","6145","","","","","","","","","","","","","","[""false""]","0",""
"sailing-instructions","25","286999","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","26","292347","0.0-8.0-0.0-1.0","","","","","","","","","","4455","","","","","","","","","","","","","","[""true""]","0",""
"sailing-instructions","27","315215","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","28","321031","0.0-9.0-0.0-1.0-0.0","","","","","","false","","","","","","","","1608","","1068","","3","1","arrowright","1","arrowright","[0.2,0.8,0.2,0.8]","","",""
