"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","3","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""A"",""C"",""B"",""D""],""boats_demo"":[""H"",""G"",""F"",""E""],""islands"":[""B"",""A""],""subject_id"":""14755"",""age"":""19"",""gender"":""Male""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","11970","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":14055}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","15025","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","17468","0.0-4.0-0.0","","","","","","","","","","1869.3333333333333","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","19054","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","21048","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","51214","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","54205","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","1858.8999999761581","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","56318","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","980.7999999523163","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","59312","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","1863.1000000238419","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","102682","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","108204","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","2519","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","112020","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","521.7000000476837","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","115545","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","950.2999999523163","","3","0","null","null","arrowright","[0,0,0,0]","","",""
"sailing-instructions","15","122870","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
