"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","browser_interaction","low_quality","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","2","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""C"",""A"",""D"",""B""],""boats_demo"":[""G"",""E"",""F"",""H""],""islands"":[""B"",""A""],""subject_id"":""13971"",""age"":""19"",""gender"":""Male""}","[{""event"":""focus"",""trial"":2,""time"":854}]","false","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","3171","0.0-2.0","","","[{""event"":""focus"",""trial"":2,""time"":854},{""event"":""fullscreenenter"",""trial"":3,""time"":3508787}]","false","true","false","[]","[]","[]","","","","","","","","","","","","","","","","",""
"fullscreen","3","3509753","0.0-3.0","","","","","true","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","3512618","0.0-4.0-0.0","","","","","","","","","","2850.6666666666665","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","3515803","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","3518451","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","3556333","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","3564090","0.0-5.0-0.0-1.0-0.0","","","","","","false","","","","","","","","6643.0999999940395","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","3566938","0.0-5.0-0.0-1.0-1.0","","","","","","false","","","","","","","","1631.7000000178814","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","3570747","0.0-5.0-0.0-1.0-2.0","","","","","","false","","","","","","","","2674","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","3615322","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","3622874","0.0-5.0-0.0-3.0-0.0","","","","","","false","","","","","","","","null","","3797.0999999940395","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","3626890","0.0-5.0-0.0-3.0-1.0","","","","","","false","","","","","","","","null","","1138.7999999821186","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","3631720","0.0-5.0-0.0-3.0-2.0","","","","","","false","","","","","","","","null","","1466.5","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","3639329","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","3661174","0.0-5.0-0.0-5.0","","","","","","","","","","18325.19999998808","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","3726318","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","3752210","0.0-6.0-0.0-1.0","","","","","","","","","","22874.09999999404","","","","","","","","","","","","","","[""true"",""true"",""true""]","1",""
"sailing-instructions","19","3820794","0.0-6.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","20","3832564","0.0-6.0-0.1-1.1","","","","","","","","","","5841.300000011921","","","","","","","","","","","","","","[""true"",""false"",""false""]","1",""
"sailing-instructions","21","3847678","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","22","3854953","0.0-7.0-0.0-1.0-0.0","","","","","","false","","","","","","","","null","","4824.9000000059605","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","3858458","0.0-7.0-0.0-1.0-1.0","","","","","","false","","","","","","","","null","","1656.300000011921","","1","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
