"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"sailing-trial","33","383433","0.0-9.0-0.0-1.0-5.0","","","","false","","","","","","","","","","697.1000000000931","","221.5","","1","1","arrowleft","0","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-instructions","34","409737","0.0-10.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","35","414651","0.0-11.0-0.0","","","","false","","","","","","","","","","1072.5","","729.6000000000931","","1","0","arrowleft","0","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","36","417313","0.0-11.0-1.0","","","","false","","","","","","","","","","null","","1265","","0","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","37","421389","0.0-11.0-2.0","","","","false","","","","","","","","","","777.3000000000466","","243.09999999997672","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","38","425091","0.0-11.0-3.0","","","","false","","","","","","","","","","null","","1101.0999999999767","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","39","428775","0.0-11.0-4.0","","","","false","","","","","","","","","","500.10000000009313","","54.40000000002328","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","40","432695","0.0-11.0-5.0","","","","false","","","","","","","","","","null","","1792.3000000000466","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","41","436442","0.0-11.0-6.0","","","","false","","","","","","","","","","632.8000000000466","","91.09999999997672","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","42","439943","0.0-11.0-7.0","","","","false","","","","","","","","","","null","","1397.5999999999767","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","43","446111","0.0-11.0-8.0","","","","false","","","","","","","","","","648.7999999999302","","2624.9000000000233","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","44","449695","0.0-11.0-9.0","","","","false","","","","","","","","","","null","","1676.4000000000233","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","45","454563","0.0-11.0-10.0","","","","false","","","","","","","","","","560.0999999999767","","159.80000000004657","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","46","457863","0.0-11.0-11.0","","","","false","","","","","","","","","","null","","1274.6000000000931","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","47","463514","0.0-11.0-12.0","","","","false","","","","","","","","","","624.8000000000466","","1014.7999999999302","","2","0","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","48","467069","0.0-11.0-13.0","","","","false","","","","","","","","","","null","","1975.2999999999302","","1","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","49","472016","0.0-11.0-14.0","","","","false","","","","","","","","","","536.6999999999534","","201.59999999997672","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","50","475934","0.0-11.0-15.0","","","","false","","","","","","","","","","null","","1592.1999999999534","","3","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","51","481384","0.0-11.0-16.0","","","","false","","","","","","","","","","529.0999999999767","","923.0999999999767","","3","0","arrowright","1","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","52","485884","0.0-11.0-17.0","","","","false","","","","","","","","","","null","","1497.5999999999767","","1","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","53","490653","0.0-11.0-18.0","","","","false","","","","","","","","","","1041.7999999999302","","376.0999999999767","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","54","494136","0.0-11.0-19.0","","","","false","","","","","","","","","","null","","1284.1999999999534","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","55","499338","0.0-11.0-20.0","","","","false","","","","","","","","","","580.8000000000466","","362.20000000006985","","2","1","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","56","501947","0.0-11.0-21.0","","","","false","","","","","","","","","","null","","838.2000000000698","","3","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","57","506006","0.0-11.0-22.0","","","","false","","","","","","","","","","967.5999999999767","","151.90000000002328","","2","1","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","58","509439","0.0-11.0-23.0","","","","false","","","","","","","","","","null","","1154.4000000000233","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","59","513224","0.0-11.0-24.0","","","","false","","","","","","","","","","707.5","","13.20000000006985","","2","1","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","60","516475","0.0-11.0-25.0","","","","false","","","","","","","","","","null","","987","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","61","520659","0.0-11.0-26.0","","","","false","","","","","","","","","","575.2999999999302","","333.5999999999767","","2","1","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","62","523509","0.0-11.0-27.0","","","","false","","","","","","","","","","null","","881.9999999999418","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","63","527970","0.0-11.0-28.0","","","","false","","","","","","","","","","538.1999999999534","","115","","2","0","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","64","531228","0.0-11.0-29.0","","","","false","","","","","","","","","","null","","1198.1000000000931","","1","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","65","536429","0.0-11.0-30.0","","","","false","","","","","","","","","","675.3000000000466","","1575.0999999998603","","2","1","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","66","540262","0.0-11.0-31.0","","","","false","","","","","","","","","","null","","1802.8000000000466","","2","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","67","544942","0.0-11.0-32.0","","","","false","","","","","","","","","","570.5","","506.4000000001397","","2","0","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","68","548447","0.0-11.0-33.0","","","","false","","","","","","","","","","null","","1270.0999999998603","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","69","552931","0.0-11.0-34.0","","","","false","","","","","","","","","","656.8999999999069","","179.89999999990687","","2","0","arrowright","1","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","70","557257","0.0-11.0-35.0","","","","false","","","","","","","","","","null","","1766.5","","3","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","71","560851","0.0-11.0-36.0","","","","false","","","","","","","","","","529.3000000000466","","55.5","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","72","564535","0.0-11.0-37.0","","","","false","","","","","","","","","","null","","1816.3000000000466","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","73","568568","0.0-11.0-38.0","","","","false","","","","","","","","","","510.19999999995343","","392.0999999998603","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","74","571818","0.0-11.0-39.0","","","","false","","","","","","","","","","null","","1092","","1","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","75","576002","0.0-11.0-40.0","","","","false","","","","","","","","","","541.8000000000466","","584.9000000001397","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","76","580019","0.0-11.0-41.0","","","","false","","","","","","","","","","null","","1006.8999999999069","","1","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","77","585455","0.0-11.0-42.0","","","","false","","","","","","","","","","647.1000000000931","","429.9000000001397","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","78","589454","0.0-11.0-43.0","","","","false","","","","","","","","","","null","","990.3999999999069","","1","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","79","594239","0.0-11.0-44.0","","","","false","","","","","","","","","","583.6999999999534","","193.20000000018626","","0","0","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","80","597390","0.0-11.0-45.0","","","","false","","","","","","","","","","null","","1227","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","81","601040","0.0-11.0-46.0","","","","false","","","","","","","","","","542.5","","99.19999999995343","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","82","603825","0.0-11.0-47.0","","","","false","","","","","","","","","","null","","892.1000000000931","","1","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","83","607408","0.0-11.0-48.0","","","","false","","","","","","","","","","665.0999999998603","","168.0999999998603","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","84","610292","0.0-11.0-49.0","","","","false","","","","","","","","","","null","","1037.9000000001397","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","85","614727","0.0-11.0-50.0","","","","false","","","","","","","","","","446.89999999990687","","1147.5","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","86","618443","0.0-11.0-51.0","","","","false","","","","","","","","","","null","","1627.8999999999069","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","87","622178","0.0-11.0-52.0","","","","false","","","","","","","","","","643.8999999999069","","107.5","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","88","625362","0.0-11.0-53.0","","","","false","","","","","","","","","","null","","1320.3999999999069","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","89","629112","0.0-11.0-54.0","","","","false","","","","","","","","","","527.6000000000931","","443.5","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","90","632047","0.0-11.0-55.0","","","","false","","","","","","","","","","null","","1082.6999999999534","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","91","635589","0.0-11.0-56.0","","","","false","","","","","","","","","","586.6000000000931","","702.6999999999534","","0","0","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","92","638613","0.0-11.0-57.0","","","","false","","","","","","","","","","null","","1615.6999999999534","","3","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","93","643345","0.0-11.0-58.0","","","","false","","","","","","","","","","829.3999999999069","","1398.4000000001397","","0","0","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","94","647353","0.0-11.0-59.0","","","","false","","","","","","","","","","null","","2350.100000000093","","2","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","95","652134","0.0-11.0-60.0","","","","false","","","","","","","","","","1238.8000000000466","","983.6999999999534","","1","0","arrowleft","0","arrowright","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","96","655018","0.0-11.0-61.0","","","","false","","","","","","","","","","null","","981.5999999998603","","2","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","97","658101","0.0-11.0-62.0","","","","false","","","","","","","","","","429.4000000001397","","50.0999999998603","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
