,browser_interactions,missed_trials,avg_rt,comp_retries,categorical_age,excluded
13999,1,0,560.9728333333383,1.0,Adults,False
13890,2,1,678.7292642120932,1.0,Adolescents,False
14728,1,0,868.8166666618982,2.0,Adolescents,False
13963,1,0,663.5191666666678,0.0,Adults,False
14941,2,0,339.8388333325833,4.0,Adolescents,True
14715,2,0,501.71883333295585,1.0,Adults,False
13840,1,1,822.2419732452237,0.0,Children,False
14381,1,0,681.0473333344856,1.0,Adults,False
15198,3,0,180.18366666674615,0.0,Adults,False
14770,1,0,147.687000000303,1.0,Adults,False
15076,1,2,1226.7110367899256,0.0,Children,False
14722,1,0,911.9004999999205,1.0,Children,False
14594,1,0,652.8279999967416,0.0,Children,False
15209,1,0,240.13850000003973,0.0,Adolescents,False
13836,3,6,674.8271812080537,3.0,Children,False
14051,1,0,680.7221666673819,0.0,Children,False
14568,1,0,514.088333332638,1.0,Adults,False
13911,1,0,710.3366666666689,1.0,Adolescents,False
14533,1,0,939.7668333335718,0.0,Children,False
13823,1,0,852.8431666914622,4.0,Children,True
15425,1,0,995.5458333343267,3.0,Adolescents,False
15081,2,0,1112.5299999999934,1.0,Adults,False
14542,4,3,423.163166666689,0.0,Adolescents,False
15163,1,0,452.43816666665174,0.0,Adults,False
15365,1,0,387.44316666205725,1.0,Adolescents,False
14387,1,0,1030.55,2.0,Children,False
14050,1,0,430.554333333342,1.0,Adolescents,False
14591,1,0,941.8949999999975,1.0,Adolescents,False
14048,1,0,514.9940000013511,1.0,Adolescents,False
14365,1,0,1300.9698333329957,1.0,Children,False
15423,1,0,497.3158333320419,0.0,Adolescents,False
13957,1,0,589.4975000000186,0.0,Adults,False
13872,1,0,505.63,1.0,Adolescents,False
13812,2,0,879.4183333351215,1.0,Children,False
14036,1,0,374.1308333333147,2.0,Adolescents,False
14776,1,0,685.3443333403269,0.0,Adults,False
