,subject_id,block_condition,reval_score,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
45,8620,Revaluation,1.0,13.31,Adolescents,2.0,ocean,No Rest,1.0,1.0
46,8624,Revaluation,0.5,14.42,Adolescents,2.0,ocean,No Rest,0.875,1.0
47,8632,Revaluation,0.0,14.62,Adolescents,2.0,canyon,No Rest,1.0,1.0
48,8633,Revaluation,1.0,14.83,Adolescents,2.0,ocean,No Rest,1.0,1.0
49,8661,Revaluation,0.9,16.49,Adolescents,1.0,ocean,No Rest,0.5,0.9
50,8674,Revaluation,1.0,17.87,Adolescents,2.0,canyon,No Rest,1.0,1.0
51,8676,Revaluation,0.0,18.94,Adults,1.0,canyon,No Rest,0.5,1.0
52,8678,Revaluation,0.0,18.79,Adults,1.0,ocean,No Rest,1.0,1.0
53,8684,Revaluation,0.75,18.74,Adults,1.0,ocean,No Rest,0.5,1.0
54,8687,Revaluation,-0.09999999999999998,19.34,Adults,1.0,ocean,No Rest,1.0,0.9
55,8699,Revaluation,1.0,19.45,Adults,2.0,ocean,No Rest,1.0,1.0
56,8700,Revaluation,1.0,19.67,Adults,2.0,canyon,No Rest,1.0,1.0
57,8702,Revaluation,-0.09999999999999998,19.13,Adults,1.0,ocean,No Rest,0.5,0.9
58,8706,Revaluation,0.0,20.97,Adults,1.0,canyon,No Rest,0.75,1.0
59,8716,Revaluation,0.25,21.65,Adults,2.0,canyon,No Rest,0.5,1.0
60,8719,Revaluation,0.5,21.57,Adults,2.0,ocean,No Rest,1.0,1.0
61,8731,Revaluation,1.0,23.87,Adults,1.0,canyon,No Rest,0.75,0.9
62,8732,Revaluation,0.0,23.32,Adults,1.0,ocean,No Rest,1.0,1.0
63,8734,Revaluation,0.75,24.0,Adults,1.0,ocean,No Rest,0.75,1.0
64,8735,Revaluation,0.75,23.51,Adults,1.0,canyon,No Rest,1.0,1.0
65,8771,Revaluation,0.0,22.96,Adults,1.0,canyon,No Rest,0.5,1.0
66,8775,Revaluation,1.0,22.65,Adults,1.0,canyon,No Rest,1.0,1.0
67,8778,Revaluation,0.0,22.81,Adults,1.0,canyon,No Rest,0.0,1.0
68,8779,Revaluation,1.0,22.77,Adults,2.0,canyon,No Rest,0.875,1.0
69,8819,Revaluation,0.0,18.71,Adults,2.0,canyon,No Rest,1.0,1.0
70,9000,Revaluation,0.0,21.34,Adults,1.0,canyon,No Rest,1.0,1.0
71,9147,Revaluation,0.5,8.57,Children,2.0,ocean,No Rest,0.5,1.0
72,9151,Revaluation,1.0,14.7,Adolescents,2.0,canyon,No Rest,0.0,1.0
73,9154,Revaluation,0.0,14.05,Adolescents,1.0,ocean,No Rest,1.0,0.9
74,9157,Revaluation,0.5,15.36,Adolescents,1.0,canyon,No Rest,0.375,1.0
75,9159,Revaluation,0.0,15.8,Adolescents,2.0,canyon,No Rest,0.75,1.0
76,9160,Revaluation,0.0,15.11,Adolescents,2.0,ocean,No Rest,0.375,1.0
77,9164,Revaluation,0.0,15.24,Adolescents,1.0,ocean,No Rest,1.0,1.0
78,9170,Revaluation,0.9,17.92,Adolescents,1.0,ocean,No Rest,0.5,0.9
79,9178,Revaluation,0.0,22.13,Adults,2.0,ocean,No Rest,1.0,1.0
80,9180,Revaluation,0.5,12.83,Children,2.0,ocean,No Rest,0.5,1.0
81,9444,Revaluation,0.75,9.82,Children,1.0,ocean,No Rest,1.0,1.0
82,9460,Revaluation,0.75,16.19,Adolescents,1.0,ocean,No Rest,0.5,1.0
83,9627,Revaluation,0.0,16.0,Adolescents,2.0,ocean,No Rest,1.0,1.0
84,9642,Revaluation,0.0,16.37,Adolescents,2.0,canyon,No Rest,1.0,1.0
85,9677,Revaluation,0.25,21.88,Adults,2.0,ocean,No Rest,0.625,1.0
86,9759,Revaluation,1.0,15.24,Adolescents,1.0,canyon,No Rest,0.0,1.0
87,9888,Revaluation,0.5,7.05,Children,2.0,canyon,No Rest,1.0,1.0
88,9986,Revaluation,0.0,23.62,Adults,1.0,ocean,No Rest,0.625,1.0
89,10009,Revaluation,1.0,18.53,Adults,2.0,canyon,No Rest,1.0,1.0
90,10010,Revaluation,0.5,21.6,Adults,1.0,ocean,No Rest,0.5,1.0
91,10031,Revaluation,0.0,8.51,Children,2.0,ocean,No Rest,0.75,1.0
92,10037,Revaluation,0.0,10.75,Children,2.0,canyon,No Rest,0.75,1.0
93,10038,Revaluation,0.0,18.05,Adults,1.0,canyon,No Rest,0.5,1.0
94,10040,Revaluation,0.050000000000000044,9.37,Children,2.0,ocean,No Rest,0.75,0.8
95,10044,Revaluation,0.75,9.24,Children,1.0,canyon,No Rest,0.375,1.0
96,10045,Revaluation,0.25,21.55,Adults,1.0,ocean,No Rest,0.5,1.0
97,10172,Revaluation,0.75,7.25,Children,1.0,canyon,No Rest,0.625,1.0
98,10510,Revaluation,0.0,8.2,Children,2.0,canyon,No Rest,0.625,1.0
99,10520,Revaluation,0.5,7.8,Children,2.0,ocean,No Rest,0.875,1.0
100,10521,Revaluation,0.75,16.47,Adolescents,1.0,canyon,No Rest,0.375,1.0
101,10589,Revaluation,0.050000000000000044,23.86,Adults,1.0,canyon,No Rest,0.75,0.8
102,10608,Revaluation,0.0,8.62,Children,2.0,canyon,No Rest,0.0,1.0
103,10686,Revaluation,0.25,17.14,Adolescents,2.0,canyon,No Rest,0.875,1.0
104,11122,Revaluation,0.0,7.81,Children,1.0,ocean,No Rest,0.375,1.0
105,11193,Revaluation,0.75,7.03,Children,1.0,ocean,No Rest,0.25,1.0
106,11194,Revaluation,0.0,15.66,Adolescents,1.0,canyon,No Rest,0.25,1.0
107,11405,Revaluation,0.0,7.54,Children,1.0,canyon,No Rest,0.5,1.0
108,11480,Revaluation,0.25,17.28,Adolescents,1.0,ocean,No Rest,0.5,1.0
109,12223,Revaluation,0.5,7.02,Children,1.0,canyon,No Rest,0.75,1.0
110,12454,Revaluation,1.0,16.51,Adolescents,2.0,canyon,No Rest,0.875,1.0
111,12455,Revaluation,0.0,9.83,Children,2.0,ocean,No Rest,1.0,1.0
112,12605,Revaluation,1.0,17.04,Adolescents,2.0,ocean,No Rest,0.5,1.0
113,12878,Revaluation,0.0,8.38,Children,2.0,ocean,No Rest,0.5,1.0
114,13403,Revaluation,0.5,9.25,Children,2.0,canyon,No Rest,0.875,1.0
115,13778,Revaluation,0.0,18.21,Adults,2.0,canyon,No Rest,0.875,1.0
116,13782,Revaluation,1.0,18.6,Adults,1.0,ocean,No Rest,1.0,1.0
117,14425,Revaluation,0.75,18.51,Adults,2.0,canyon,No Rest,1.0,1.0
118,14427,Revaluation,1.0,22.42,Adults,2.0,ocean,No Rest,1.0,1.0
119,14485,Revaluation,0.25,16.34,Adolescents,2.0,ocean,No Rest,0.75,1.0
