"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","678","0.0-0.0","pilot_wm_v1","null","null","null","null","true","","","","",""
"preload","1","1714","0.0-1.0","pilot_wm_v1","null","null","null","null","true","true","false","[]","[]","[]"
