"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction"
"pavlovia","0","1503","0.0-0.0","pilot_wm_v1","null","null","null","null","true","","","","","",""
"preload","1","3097","0.0-1.0","pilot_wm_v1","null","null","null","null","true","true","false","[]","[]","[]","[{""event"":""blur"",""trial"":0,""time"":406},{""event"":""focus"",""trial"":0,""time"":1161},{""event"":""blur"",""trial"":2,""time"":5076},{""event"":""focus"",""trial"":2,""time"":9953}]"
