"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","1155","0.0-0.0","pilot_wm_v1","null","3","null","null","true","[{""event"":""blur"",""trial"":1,""time"":2809},{""event"":""focus"",""trial"":2,""time"":42212},{""event"":""blur"",""trial"":2,""time"":45485},{""event"":""focus"",""trial"":2,""time"":50481},{""event"":""blur"",""trial"":2,""time"":50485},{""event"":""focus"",""trial"":2,""time"":51599},{""event"":""blur"",""trial"":2,""time"":52718},{""event"":""focus"",""trial"":2,""time"":411013},{""event"":""blur"",""trial"":2,""time"":411015},{""event"":""focus"",""trial"":2,""time"":442067}]","","","","",""
"preload","1","4428","0.0-1.0","pilot_wm_v1","null","3","null","null","true","[{""event"":""blur"",""trial"":1,""time"":2809},{""event"":""focus"",""trial"":2,""time"":42212},{""event"":""blur"",""trial"":2,""time"":45485},{""event"":""focus"",""trial"":2,""time"":50481},{""event"":""blur"",""trial"":2,""time"":50485},{""event"":""focus"",""trial"":2,""time"":51599},{""event"":""blur"",""trial"":2,""time"":52718},{""event"":""focus"",""trial"":2,""time"":411013},{""event"":""blur"",""trial"":2,""time"":411015},{""event"":""focus"",""trial"":2,""time"":442067}]","true","false","[]","[]","[]"
