"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","739","0.0-0.0","pilot_wm_v1","null","null","null","null","true","[{""event"":""blur"",""trial"":1,""time"":907},{""event"":""focus"",""trial"":1,""time"":20355},{""event"":""blur"",""trial"":1,""time"":22052},{""event"":""focus"",""trial"":2,""time"":22980}]","","","","",""
"preload","1","22154","0.0-1.0","pilot_wm_v1","null","null","null","null","true","[{""event"":""blur"",""trial"":1,""time"":907},{""event"":""focus"",""trial"":1,""time"":20355},{""event"":""blur"",""trial"":1,""time"":22052},{""event"":""focus"",""trial"":2,""time"":22980}]","true","false","[]","[]","[]"
