,browser_interactions,missed_trials,avg_rt,comp_retries,categorical_age,excluded
14728,1,0,901.6781150102615,2.0,Adolescents,False
14053,1,0,791.0225806451618,0.0,Adolescents,False
15429,4,0,477.97651757209445,2.0,Adults,False
14591,1,0,948.9967741935458,1.0,Adolescents,False
14052,1,0,778.7556089755052,1.0,Adolescents,False
14754,1,0,557.3349358974324,1.0,Adults,False
14729,1,1,1139.2974276527332,2.0,Adolescents,False
14537,3,0,804.0495207671064,1.0,Children,False
14776,1,0,709.8214516197481,0.0,Adults,False
14051,1,0,731.302258065439,0.0,Children,False
13872,1,0,555.8189102564103,1.0,Adolescents,False
15468,1,0,809.3693548387097,0.0,Adolescents,False
14945,6,0,708.5669354833423,0.0,Adolescents,False
13853,1,0,733.1735483869941,0.0,Children,False
13831,3,1,1260.9970967740542,0.0,Children,False
14958,1,0,646.1392628205224,1.0,Adults,False
13841,1,0,721.5153225767997,1.0,Children,False
15115,2,0,923.4306451489848,0.0,Adolescents,False
13801,1,0,982.6388709673478,0.0,Children,False
14955,1,0,500.59424920127793,1.0,Adults,False
13982,5,1,1020.4707592891797,0.0,Adults,False
14021,1,0,495.35721153826813,1.0,Adults,False
15425,1,0,1068.9220634924986,3.0,Adolescents,False
14781,1,2,898.5346278317068,1.0,Adults,False
14789,1,0,1244.608974358974,1.0,Adolescents,False
13809,1,0,836.8144230756623,2.0,Children,False
14568,1,0,534.6869009577048,1.0,Adults,False
15081,2,0,1179.2348242811438,1.0,Adults,False
14788,1,0,1278.2030645282039,0.0,Adolescents,False
14530,1,0,528.7162939289127,1.0,Children,False
14595,3,0,709.1390322579972,0.0,Adolescents,False
14594,1,0,681.2595161245715,0.0,Children,False
14535,1,0,1097.4169329075148,1.0,Children,False
13796,1,0,1159.8568910249533,1.0,Children,False
14735,1,0,691.171269841226,3.0,Adolescents,False
14724,3,2,1489.5098726122053,3.0,Children,False
13799,1,0,676.5430158732429,3.0,Children,False
