"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","5020","0.0-0.0","spark_pilot_norest","8779","1","22","Female","[{""event"":""blur"",""trial"":1,""time"":39121},{""event"":""focus"",""trial"":1,""time"":61127},{""event"":""fullscreenenter"",""trial"":2,""time"":71053}]","","","","","","","","","","","","","","","","","","","","",""
"preload","1","66156","0.0-1.0","spark_pilot_norest","8779","1","22","Female","[{""event"":""blur"",""trial"":1,""time"":39121},{""event"":""focus"",""trial"":1,""time"":61127},{""event"":""fullscreenenter"",""trial"":2,""time"":71053}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"fullscreen","2","71820","0.0-2.0","spark_pilot_norest","8779","1","22","Female","","true","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","74273","0.0-3.0-0.0-0.0","spark_pilot_norest","8779","1","22","Female","","","","","","","2197","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","82911","0.0-3.0-1.0-0.0","spark_pilot_norest","8779","1","22","Female","","","","","","","1620.0999999940395","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","98847","0.0-3.0-1.0-0.1","spark_pilot_norest","8779","1","22","Female","","","","","","","7472.399999991059","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","108034","0.0-3.0-1.0-0.2","spark_pilot_norest","8779","1","22","Female","","","","","","","855.6999999880791","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","121844","0.0-3.0-1.0-0.3","spark_pilot_norest","8779","1","22","Female","","","","","","","580","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","133875","0.0-3.0-1.0-0.4","spark_pilot_norest","8779","1","22","Female","","","","","","","563.3000000119209","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","142223","0.0-3.0-1.0-0.5","spark_pilot_norest","8779","1","22","Female","","","","","","","474.5","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","151535","0.0-3.0-1.0-0.6","spark_pilot_norest","8779","1","22","Female","","","","","","","453","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","160165","0.0-3.0-1.0-0.7","spark_pilot_norest","8779","1","22","Female","","","","","","","1556.5","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","12","164204","0.0-3.0-2.0-0.0","spark_pilot_norest","8779","1","22","Female","","","false","","","","[891]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","13","164711","0.0-3.0-2.0-1.0","spark_pilot_norest","8779","1","22","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","14","168759","0.0-3.0-2.0-0.1","spark_pilot_norest","8779","1","22","Female","","","true","","","","[]","./assets/img/space/1.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","",""
"html-keyboard-response","15","169263","0.0-3.0-2.0-1.1","spark_pilot_norest","8779","1","22","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
