"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","491","1714817","0.0-5.0-4.0-1.1","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","11","","",""
"memory-trial","492","1717352","0.0-5.0-4.0-0.2","spark_pilot_norest","8205","6","20","Female","","false","","","","","1522","./assets/img/canyon/memory/9.jpg","definitely_new","memory","","10","","true","","","","","12","4","new",""
"html-keyboard-response","493","1717865","0.0-5.0-4.0-1.2","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","13","","",""
"memory-trial","494","1721689","0.0-5.0-4.0-0.3","spark_pilot_norest","8205","6","20","Female","","false","","","","","2814","./assets/img/ocean/memory/27.jpg","maybe_new","memory","","10","","true","","","","","14","3","new",""
"html-keyboard-response","495","1722202","0.0-5.0-4.0-1.3","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","15","","",""
"memory-trial","496","1726084","0.0-5.0-4.0-0.4","spark_pilot_norest","8205","6","20","Female","","false","","","","","2876","./assets/img/canyon/memory/13.jpg","maybe_old","memory","","10","","true","","","","","16","2","old",""
"html-keyboard-response","497","1726587","0.0-5.0-4.0-1.4","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","17","","",""
"memory-trial","498","1729454","0.0-5.0-4.0-0.5","spark_pilot_norest","8205","6","20","Female","","false","","","","","1852","./assets/img/canyon/memory/7.jpg","definitely_new","memory","","10","","true","","","","","18","4","new",""
"html-keyboard-response","499","1729968","0.0-5.0-4.0-1.5","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","19","","",""
"memory-trial","500","1734551","0.0-5.0-4.0-0.6","spark_pilot_norest","8205","6","20","Female","","false","","","","","3579","./assets/img/ocean/memory/10.jpg","maybe_old","memory","","0","","false","","","","","20","2","new",""
"html-keyboard-response","501","1735054","0.0-5.0-4.0-1.6","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","21","","",""
"memory-trial","502","1738351","0.0-5.0-4.0-0.7","spark_pilot_norest","8205","6","20","Female","","false","","","","","2294","./assets/img/canyon/memory/19.jpg","definitely_new","memory","","0","","false","","","","","22","4","old",""
"html-keyboard-response","503","1738853","0.0-5.0-4.0-1.7","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","23","","",""
"memory-trial","504","1741861","0.0-5.0-4.0-0.8","spark_pilot_norest","8205","6","20","Female","","false","","","","","2007","./assets/img/ocean/memory/1.jpg","definitely_old","memory","","10","","true","","","","","24","1","old",""
"html-keyboard-response","505","1742364","0.0-5.0-4.0-1.8","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","25","","",""
"memory-trial","506","1745211","0.0-5.0-4.0-0.9","spark_pilot_norest","8205","6","20","Female","","false","","","","","1845","./assets/img/canyon/memory/39.jpg","definitely_old","memory","","0","","false","","","","","26","1","new",""
"html-keyboard-response","507","1745712","0.0-5.0-4.0-1.9","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","27","","",""
"memory-trial","508","1749230","0.0-5.0-4.0-0.10","spark_pilot_norest","8205","6","20","Female","","false","","","","","2516","./assets/img/ocean/memory/23.jpg","definitely_old","memory","","10","","true","","","","","28","1","old",""
"html-keyboard-response","509","1749732","0.0-5.0-4.0-1.10","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","29","","",""
"memory-trial","510","1752632","0.0-5.0-4.0-0.11","spark_pilot_norest","8205","6","20","Female","","false","","","","","1897","./assets/img/ocean/memory/0.jpg","maybe_new","memory","","0","","false","","","","","30","3","old",""
"html-keyboard-response","511","1753135","0.0-5.0-4.0-1.11","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","31","","",""
"memory-trial","512","1756122","0.0-5.0-4.0-0.12","spark_pilot_norest","8205","6","20","Female","","false","","","","","1983","./assets/img/canyon/memory/24.jpg","definitely_old","memory","","10","","true","","","","","32","1","old",""
"html-keyboard-response","513","1756624","0.0-5.0-4.0-1.12","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","33","","",""
"memory-trial","514","1759821","0.0-5.0-4.0-0.13","spark_pilot_norest","8205","6","20","Female","","false","","","","","2194","./assets/img/canyon/memory/34.jpg","definitely_old","memory","","10","","true","","","","","34","1","old",""
"html-keyboard-response","515","1760323","0.0-5.0-4.0-1.13","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","35","","",""
"memory-trial","516","1762852","0.0-5.0-4.0-0.14","spark_pilot_norest","8205","6","20","Female","","false","","","","","1526","./assets/img/ocean/memory/29.jpg","definitely_new","memory","","10","","true","","","","","36","4","new",""
"html-keyboard-response","517","1763354","0.0-5.0-4.0-1.14","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","37","","",""
"memory-trial","518","1766481","0.0-5.0-4.0-0.15","spark_pilot_norest","8205","6","20","Female","","false","","","","","2124","./assets/img/canyon/memory/0.jpg","definitely_new","memory","","0","","false","","","","","38","4","old",""
"html-keyboard-response","519","1766984","0.0-5.0-4.0-1.15","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","39","","",""
"memory-trial","520","1769722","0.0-5.0-4.0-0.16","spark_pilot_norest","8205","6","20","Female","","false","","","","","1735","./assets/img/ocean/memory/12.jpg","definitely_old","memory","","10","","true","","","","","40","1","old",""
"html-keyboard-response","521","1770225","0.0-5.0-4.0-1.16","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","41","","",""
"memory-trial","522","1773791","0.0-5.0-4.0-0.17","spark_pilot_norest","8205","6","20","Female","","false","","","","","2565","./assets/img/ocean/memory/35.jpg","definitely_new","memory","","10","","true","","","","","42","4","new",""
"html-keyboard-response","523","1774294","0.0-5.0-4.0-1.17","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","43","","",""
"memory-trial","524","1777371","0.0-5.0-4.0-0.18","spark_pilot_norest","8205","6","20","Female","","false","","","","","2075","./assets/img/ocean/memory/22.jpg","maybe_new","memory","","0","","false","","","","","44","3","old",""
"html-keyboard-response","525","1777874","0.0-5.0-4.0-1.18","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","45","","",""
"memory-trial","526","1780911","0.0-5.0-4.0-0.19","spark_pilot_norest","8205","6","20","Female","","false","","","","","2034","./assets/img/ocean/memory/9.jpg","definitely_old","memory","","10","","true","","","","","46","1","old",""
"html-keyboard-response","527","1781412","0.0-5.0-4.0-1.19","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","47","","",""
"memory-trial","528","1784772","0.0-5.0-4.0-0.20","spark_pilot_norest","8205","6","20","Female","","false","","","","","2357","./assets/img/ocean/memory/8.jpg","maybe_new","memory","","10","","true","","","","","48","3","new",""
