"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","1516","0.0-0.0","spark_pilot_norest","8780","7","22","Female","[{""event"":""blur"",""trial"":1,""time"":34272},{""event"":""focus"",""trial"":2,""time"":1206303},{""event"":""fullscreenenter"",""trial"":2,""time"":1206398},{""event"":""fullscreenexit"",""trial"":3,""time"":1208611},{""event"":""blur"",""trial"":3,""time"":1225642}]","","","","",""
"preload","1","46095","0.0-1.0","spark_pilot_norest","8780","7","22","Female","[{""event"":""blur"",""trial"":1,""time"":34272},{""event"":""focus"",""trial"":2,""time"":1206303},{""event"":""fullscreenenter"",""trial"":2,""time"":1206398},{""event"":""fullscreenexit"",""trial"":3,""time"":1208611},{""event"":""blur"",""trial"":3,""time"":1225642}]","true","false","[]","[]","[]"
"fullscreen","2","1207380","0.0-2.0","spark_pilot_norest","8780","7","22","Female","[{""event"":""blur"",""trial"":1,""time"":34272},{""event"":""focus"",""trial"":2,""time"":1206303},{""event"":""fullscreenenter"",""trial"":2,""time"":1206398},{""event"":""fullscreenexit"",""trial"":3,""time"":1208611},{""event"":""blur"",""trial"":3,""time"":1225642}]","true","","","",""
