"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1257","0.0-0.0","spark_pilot_norest","10510","3","8","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","9881","0.0-1.0","spark_pilot_norest","10510","3","8","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":12522}]","","","","","","","","","","","","","","","",""
"fullscreen","2","13520","0.0-2.0","spark_pilot_norest","10510","3","8","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","17707","0.0-3.0-0.0-0.0","spark_pilot_norest","10510","3","8","Male","","","","","","","3720","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","28084","0.0-3.0-1.0-0.0","spark_pilot_norest","10510","3","8","Male","","","","","","","3367.2999999970198","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","38466","0.0-3.0-1.0-0.1","spark_pilot_norest","10510","3","8","Male","","","","","","","1960","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","48379","0.0-3.0-1.0-0.2","spark_pilot_norest","10510","3","8","Male","","","","","","","1652","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","62140","0.0-3.0-1.0-0.3","spark_pilot_norest","10510","3","8","Male","","","","","","","614.0999999940395","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","74355","0.0-3.0-1.0-0.4","spark_pilot_norest","10510","3","8","Male","","","","","","","799.8999999910593","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","83499","0.0-3.0-1.0-0.5","spark_pilot_norest","10510","3","8","Male","","","","","","","1314","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","93395","0.0-3.0-1.0-0.6","spark_pilot_norest","10510","3","8","Male","","","","","","","1079","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","101947","0.0-3.0-1.0-0.7","spark_pilot_norest","10510","3","8","Male","","","","","","","1520","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","12","105972","0.0-3.0-2.0-0.0","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1319.5999999940395]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","13","106482","0.0-3.0-2.0-1.0","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","14","110488","0.0-3.0-2.0-0.1","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1528.2000000029802]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","15","110999","0.0-3.0-2.0-1.1","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","16","115022","0.0-3.0-2.0-0.2","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1743.0999999940395]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","17","115527","0.0-3.0-2.0-1.2","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","18","121214","0.0-3.0-3.0-0.0","spark_pilot_norest","10510","3","8","Male","","","","","","","977.9000000059605","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","19","125225","0.0-3.0-4.0-0.0","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1334.5]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","20","125733","0.0-3.0-4.0-1.0","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","21","129761","0.0-3.0-4.0-0.1","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1095.5]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","22","130270","0.0-3.0-4.0-1.1","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","23","134282","0.0-3.0-4.0-0.2","spark_pilot_norest","10510","3","8","Male","","true","","","","","[]","./assets/img/space/5.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","",""
"html-keyboard-response","24","134788","0.0-3.0-4.0-1.2","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","25","146156","0.0-3.0-5.0-0.0","spark_pilot_norest","10510","3","8","Male","","","","","","","1490.0999999940395","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","26","156059","0.0-3.0-5.0-0.1","spark_pilot_norest","10510","3","8","Male","","","","","","","773.2999999970198","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","",""
"learning-instructions","27","169356","0.0-3.0-5.0-0.2","spark_pilot_norest","10510","3","8","Male","","","","","","","2110.2999999970198","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","28","176618","0.0-3.0-5.0-0.3","spark_pilot_norest","10510","3","8","Male","","","","","","","902.2999999970198","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","29","180642","0.0-3.0-6.0-0.0","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1086.2999999970198]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","",""
"html-keyboard-response","30","181143","0.0-3.0-6.0-1.0","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","31","185164","0.0-3.0-6.0-0.1","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1246.5]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","",""
"html-keyboard-response","32","185670","0.0-3.0-6.0-1.1","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","33","189687","0.0-3.0-6.0-0.2","spark_pilot_norest","10510","3","8","Male","","false","","","","","[707.5]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","",""
"html-keyboard-response","34","190195","0.0-3.0-6.0-1.2","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","35","194221","0.0-3.0-6.0-0.3","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1649.5]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","",""
"html-keyboard-response","36","194731","0.0-3.0-6.0-1.3","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","37","212706","0.0-3.0-7.0-0.0","spark_pilot_norest","10510","3","8","Male","","","","","","","1151.2000000029802","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","38","222514","0.0-3.0-7.0-0.1","spark_pilot_norest","10510","3","8","Male","","","","","","","1550.6000000089407","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","",""
"revaluation","39","228539","0.0-3.0-8.0-0.0","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1338.0999999940395,1509.5999999940395]","./assets/img/space/6.jpg","[""ArrowDown"",""ArrowLeft""]","full practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","",""
"html-keyboard-response","40","229046","0.0-3.0-8.0-1.0","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","41","235069","0.0-3.0-8.0-0.1","spark_pilot_norest","10510","3","8","Male","","false","","","","","[791.7999999970198,627.3999999910593]","./assets/img/space/7.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","",""
"html-keyboard-response","42","235571","0.0-3.0-8.0-1.1","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","43","241583","0.0-3.0-8.0-0.2","spark_pilot_norest","10510","3","8","Male","","false","","","","","[597,1087.4000000059605]","./assets/img/space/8.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","",""
"html-keyboard-response","44","242085","0.0-3.0-8.0-1.2","spark_pilot_norest","10510","3","8","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","45","248119","0.0-3.0-8.0-0.3","spark_pilot_norest","10510","3","8","Male","","false","","","","","[1022.9000000059605,1255.7999999970198]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","",""
