"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","2404","0.0-0.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","24566","0.0-1.0","spark_pilot_norest","8599","5","12","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":40872}]","","","","","","","","","","","","","","","","",""
"fullscreen","2","41790","0.0-2.0","spark_pilot_norest","8599","5","12","Female","true","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","310966","0.0-3.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","312351","0.0-4.0-0.0-0.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","1373","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","5","321107","0.0-4.0-1.0-0.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","1801","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","330753","0.0-4.0-1.0-0.1","spark_pilot_norest","8599","5","12","Female","","","","","","","","1255","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","340252","0.0-4.0-1.0-0.2","spark_pilot_norest","8599","5","12","Female","","","","","","","","1251.0000000000582","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","354594","0.0-4.0-1.0-0.3","spark_pilot_norest","8599","5","12","Female","","","","","","","","1190","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","367043","0.0-4.0-1.0-0.4","spark_pilot_norest","8599","5","12","Female","","","","","","","","1033.9999999999418","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","379288","0.0-4.0-1.0-0.5","spark_pilot_norest","8599","5","12","Female","","","","","","","","4433.999999999942","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","393064","0.0-4.0-1.0-0.6","spark_pilot_norest","8599","5","12","Female","","","","","","","","4984","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","401506","0.0-4.0-1.0-0.7","spark_pilot_norest","8599","5","12","Female","","","","","","","","1421","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","13","405522","0.0-4.0-2.0-0.0","spark_pilot_norest","8599","5","12","Female","","false","","","","","","[1643]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","14","406024","0.0-4.0-2.0-1.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","15","410026","0.0-4.0-2.0-0.1","spark_pilot_norest","8599","5","12","Female","","false","","","","","","[1839]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","16","410528","0.0-4.0-2.0-1.1","spark_pilot_norest","8599","5","12","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","17","414533","0.0-4.0-2.0-0.2","spark_pilot_norest","8599","5","12","Female","","false","","","","","","[361]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","18","415035","0.0-4.0-2.0-1.2","spark_pilot_norest","8599","5","12","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","19","420923","0.0-4.0-3.0-0.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","1203","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","20","424926","0.0-4.0-4.0-0.0","spark_pilot_norest","8599","5","12","Female","","false","","","","","","[1802]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","21","425427","0.0-4.0-4.0-1.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","22","429430","0.0-4.0-4.0-0.1","spark_pilot_norest","8599","5","12","Female","","false","","","","","","[795]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","23","429931","0.0-4.0-4.0-1.1","spark_pilot_norest","8599","5","12","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","24","433935","0.0-4.0-4.0-0.2","spark_pilot_norest","8599","5","12","Female","","false","","","","","","[947]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","25","434436","0.0-4.0-4.0-1.2","spark_pilot_norest","8599","5","12","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","26","446972","0.0-4.0-5.0-0.0","spark_pilot_norest","8599","5","12","Female","","","","","","","","2705","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","27","456558","0.0-4.0-5.0-0.1","spark_pilot_norest","8599","5","12","Female","","","","","","","","471","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","",""
