"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1836","0.0-0.0","spark_pilot_norest","8377","7","21","Female","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","13403","0.0-1.0","spark_pilot_norest","8377","7","21","Female","true","false","[]","[]","[]","[{""event"":""blur"",""trial"":2,""time"":14943},{""event"":""focus"",""trial"":2,""time"":15216},{""event"":""fullscreenenter"",""trial"":2,""time"":15250},{""event"":""blur"",""trial"":391,""time"":1402527},{""event"":""focus"",""trial"":395,""time"":1424612}]","","","","","","","","","","","","","","","",""
"fullscreen","2","15460","0.0-2.0","spark_pilot_norest","8377","7","21","Female","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","22974","0.0-3.0-0.0-0.0","spark_pilot_norest","8377","7","21","Female","","","","","","","6943","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","4","25173","0.0-3.0-0.1-0.1","spark_pilot_norest","8377","7","21","Female","","","","","","","1196","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","5","33357","0.0-3.0-1.0-0.0","spark_pilot_norest","8377","7","21","Female","","","","","","","1120","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","46710","0.0-3.0-1.0-0.1","spark_pilot_norest","8377","7","21","Female","","","","","","","3733","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","56010","0.0-3.0-1.0-0.2","spark_pilot_norest","8377","7","21","Female","","","","","","","947","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","70926","0.0-3.0-1.0-0.3","spark_pilot_norest","8377","7","21","Female","","","","","","","1607","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","83562","0.0-3.0-1.0-0.4","spark_pilot_norest","8377","7","21","Female","","","","","","","1028","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","92566","0.0-3.0-1.0-0.5","spark_pilot_norest","8377","7","21","Female","","","","","","","1082","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","102399","0.0-3.0-1.0-0.6","spark_pilot_norest","8377","7","21","Female","","","","","","","919","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","111032","0.0-3.0-1.0-0.7","spark_pilot_norest","8377","7","21","Female","","","","","","","1506","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","13","115047","0.0-3.0-2.0-0.0","spark_pilot_norest","8377","7","21","Female","","false","","","","","[501]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","14","115551","0.0-3.0-2.0-1.0","spark_pilot_norest","8377","7","21","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","15","119562","0.0-3.0-2.0-0.1","spark_pilot_norest","8377","7","21","Female","","false","","","","","[1268]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","16","120067","0.0-3.0-2.0-1.1","spark_pilot_norest","8377","7","21","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","17","124073","0.0-3.0-2.0-0.2","spark_pilot_norest","8377","7","21","Female","","false","","","","","[1574]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","18","124578","0.0-3.0-2.0-1.2","spark_pilot_norest","8377","7","21","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","19","130101","0.0-3.0-3.0-0.0","spark_pilot_norest","8377","7","21","Female","","","","","","","755","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
