"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1228","0.0-0.0","spark_pilot_norest","10827","8","7","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","33409","0.0-1.0","spark_pilot_norest","10827","8","7","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":35415},{""event"":""blur"",""trial"":155,""time"":812400},{""event"":""focus"",""trial"":155,""time"":813653},{""event"":""blur"",""trial"":169,""time"":851961},{""event"":""focus"",""trial"":169,""time"":853787},{""event"":""fullscreenexit"",""trial"":254,""time"":1079828}]","","","","","","","","","","","","","","","",""
"fullscreen","2","36359","0.0-2.0","spark_pilot_norest","10827","8","7","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","39514","0.0-3.0-0.0-0.0","spark_pilot_norest","10827","8","7","Male","","","","","","","2811","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","51619","0.0-3.0-1.0-0.0","spark_pilot_norest","10827","8","7","Male","","","","","","","5102.89999961853","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","63129","0.0-3.0-1.0-0.1","spark_pilot_norest","10827","8","7","Male","","","","","","","3069.7999997138977","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","75330","0.0-3.0-1.0-0.2","spark_pilot_norest","10827","8","7","Male","","","","","","","3940.4000000953674","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","89585","0.0-3.0-1.0-0.3","spark_pilot_norest","10827","8","7","Male","","","","","","","1074.6999998092651","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","102358","0.0-3.0-1.0-0.4","spark_pilot_norest","10827","8","7","Male","","","","","","","1347.2000002861023","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","112597","0.0-3.0-1.0-0.5","spark_pilot_norest","10827","8","7","Male","","","","","","","2405.8999996185303","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
