"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1348","0.0-0.0","spark_pilot_norest","10192","7","7","Female","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","11796","0.0-1.0","spark_pilot_norest","10192","7","7","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":14305},{""event"":""fullscreenexit"",""trial"":3,""time"":24604},{""event"":""blur"",""trial"":3,""time"":26888},{""event"":""focus"",""trial"":3,""time"":31415},{""event"":""blur"",""trial"":471,""time"":1672986},{""event"":""focus"",""trial"":471,""time"":1672989}]","","","","","","","","","","","","","","","",""
"fullscreen","2","15296","0.0-2.0","spark_pilot_norest","10192","7","7","Female","true","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":14305},{""event"":""fullscreenexit"",""trial"":3,""time"":24604},{""event"":""blur"",""trial"":3,""time"":26888},{""event"":""focus"",""trial"":3,""time"":31415},{""event"":""blur"",""trial"":471,""time"":1672986},{""event"":""focus"",""trial"":471,""time"":1672989}]","","","","","","","","","","","","","","","",""
"audio-button-response","3","31521","0.0-3.0-0.0-0.0","spark_pilot_norest","10192","7","7","Female","","","","","","","16211","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","4","34314","0.0-3.0-0.1-0.1","spark_pilot_norest","10192","7","7","Female","","","","","","","1771","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","5","43981","0.0-3.0-1.0-0.0","spark_pilot_norest","10192","7","7","Female","","","","","","","2695.899999976158","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","52847","0.0-3.0-1.0-0.1","spark_pilot_norest","10192","7","7","Female","","","","","","","461.2000000476837","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","61616","0.0-3.0-1.0-0.2","spark_pilot_norest","10192","7","7","Female","","","","","","","530.7999999523163","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","75338","0.0-3.0-1.0-0.3","spark_pilot_norest","10192","7","7","Female","","","","","","","583.6999999284744","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","88032","0.0-3.0-1.0-0.4","spark_pilot_norest","10192","7","7","Female","","","","","","","1287.4000000953674","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
