"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","2462","0.0-0.0","spark_pilot_norest","8321","3","12","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","19808","0.0-1.0","spark_pilot_norest","8321","3","12","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":25731},{""event"":""blur"",""trial"":225,""time"":1047194},{""event"":""focus"",""trial"":229,""time"":1054533}]","","","","","","","","","","","","","","","",""
"fullscreen","2","26322","0.0-2.0","spark_pilot_norest","8321","3","12","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","38958","0.0-3.0-0.0-0.0","spark_pilot_norest","8321","3","12","Male","","","","","","","11792","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","4","42162","0.0-3.0-0.1-0.1","spark_pilot_norest","8321","3","12","Male","","","","","","","2149","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","5","64741","0.0-3.0-1.0-0.0","spark_pilot_norest","8321","3","12","Male","","","","","","","14144","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","75715","0.0-3.0-1.0-0.1","spark_pilot_norest","8321","3","12","Male","","","","","","","2308","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","86229","0.0-3.0-1.0-0.2","spark_pilot_norest","8321","3","12","Male","","","","","","","2100","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","102116","0.0-3.0-1.0-0.3","spark_pilot_norest","8321","3","12","Male","","","","","","","2468","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","116192","0.0-3.0-1.0-0.4","spark_pilot_norest","8321","3","12","Male","","","","","","","1884","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","126555","0.0-3.0-1.0-0.5","spark_pilot_norest","8321","3","12","Male","","","","","","","2309","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","138632","0.0-3.0-1.0-0.6","spark_pilot_norest","8321","3","12","Male","","","","","","","2475","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","148706","0.0-3.0-1.0-0.7","spark_pilot_norest","8321","3","12","Male","","","","","","","2799","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","13","152745","0.0-3.0-2.0-0.0","spark_pilot_norest","8321","3","12","Male","","false","","","","","[1878]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","14","153253","0.0-3.0-2.0-1.0","spark_pilot_norest","8321","3","12","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","15","157284","0.0-3.0-2.0-0.1","spark_pilot_norest","8321","3","12","Male","","false","","","","","[1963]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","16","157789","0.0-3.0-2.0-1.1","spark_pilot_norest","8321","3","12","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","17","161825","0.0-3.0-2.0-0.2","spark_pilot_norest","8321","3","12","Male","","false","","","","","[1170]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","18","162342","0.0-3.0-2.0-1.2","spark_pilot_norest","8321","3","12","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
