"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1105","0.0-0.0","spark_pilot_norest","13782","2","18","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","25386","0.0-1.0","spark_pilot_norest","13782","2","18","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":27880}]","","","","","","","","","","","","","","","",""
"fullscreen","2","28857","0.0-2.0","spark_pilot_norest","13782","2","18","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","30482","0.0-3.0-0.0-0.0","spark_pilot_norest","13782","2","18","Male","","","","","","","1621","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","40763","0.0-3.0-1.0-0.0","spark_pilot_norest","13782","2","18","Male","","","","","","","3302.199999999255","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","52956","0.0-3.0-1.0-0.1","spark_pilot_norest","13782","2","18","Male","","","","","","","3792.199999999255","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","62115","0.0-3.0-1.0-0.2","spark_pilot_norest","13782","2","18","Male","","","","","","","910.3000000007451","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","76124","0.0-3.0-1.0-0.3","spark_pilot_norest","13782","2","18","Male","","","","","","","864.6999999992549","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","89444","0.0-3.0-1.0-0.4","spark_pilot_norest","13782","2","18","Male","","","","","","","1907.2000000029802","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","97732","0.0-3.0-1.0-0.5","spark_pilot_norest","13782","2","18","Male","","","","","","","455.80000000074506","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","107582","0.0-3.0-1.0-0.6","spark_pilot_norest","13782","2","18","Male","","","","","","","1046.5999999977648","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","115358","0.0-3.0-1.0-0.7","spark_pilot_norest","13782","2","18","Male","","","","","","","747.6000000014901","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","12","119396","0.0-3.0-2.0-0.0","spark_pilot_norest","13782","2","18","Male","","false","","","","","[890.1000000014901]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","13","119909","0.0-3.0-2.0-1.0","spark_pilot_norest","13782","2","18","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","14","123932","0.0-3.0-2.0-0.1","spark_pilot_norest","13782","2","18","Male","","false","","","","","[840.1999999992549]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","15","124441","0.0-3.0-2.0-1.1","spark_pilot_norest","13782","2","18","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","16","128447","0.0-3.0-2.0-0.2","spark_pilot_norest","13782","2","18","Male","","false","","","","","[606]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","17","128960","0.0-3.0-2.0-1.2","spark_pilot_norest","13782","2","18","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","18","134237","0.0-3.0-3.0-0.0","spark_pilot_norest","13782","2","18","Male","","","","","","","587.3000000007451","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","19","138268","0.0-3.0-4.0-0.0","spark_pilot_norest","13782","2","18","Male","","false","","","","","[604]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","20","138774","0.0-3.0-4.0-1.0","spark_pilot_norest","13782","2","18","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","21","142785","0.0-3.0-4.0-0.1","spark_pilot_norest","13782","2","18","Male","","false","","","","","[390.9000000022352]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
